idx,lat,lon,depth_m
0,63.440641666666664,10.348961111111112,-0.0
1,63.44062763345345,10.349056536960966,2.525978378460131
2,63.44061360024024,10.349151962810817,5.051956756920262
3,63.44059956702702,10.34924738866067,7.577935135380392
4,63.44058604876931,10.349343019032753,10.1122152294998
5,63.440584533335766,10.349443416504782,12.839995601602858
6,63.440583017902235,10.34954381397681,15.567775973705917
7,63.4405815024687,10.349644211448839,18.295556345808972
8,63.44057998703516,10.349744608920869,21.02333671791203
9,63.44057847160161,10.349845006392897,23.751117090015086
10,63.44057695616808,10.349945403864925,26.478897462118145
11,63.440575440734534,10.350045801336954,29.206677834221207
12,63.440575778339856,10.350146218096839,31.401011741087316
13,63.44057687587723,10.350246642766681,33.37657901668412
14,63.440577973414605,10.350347067436525,35.35214629228093
15,63.440579070951976,10.350447492106367,37.32771356787773
16,63.44058016848935,10.35054791677621,39.30328084347454
17,63.44058084845749,10.350648357562978,41.05444696721522
18,63.440581300933005,10.350748807130282,42.68335886943188
19,63.44058175340855,10.350849256697584,44.31227077164853
20,63.44058220588407,10.350949706264888,45.94118267386518
21,63.4405826583596,10.351050155832192,47.570094576081836
22,63.44058311083513,10.351150605399495,49.199006478298486
23,63.44058333333333,10.351251057557597,50.70968033725847
24,63.44058333333333,10.351351512222243,52.10596139024121
25,63.44058333333333,10.351451966886888,53.50224244322395
26,63.44058333333333,10.351552421551533,54.89852349620669
27,63.44058333333333,10.351652876216178,56.294804549189436
28,63.44058333333333,10.351753330880824,57.69108560217217
29,63.44058333333333,10.351853785545469,59.087366655154916
30,63.440591839207855,10.351948579508926,60.21118033315641
31,63.44061639549386,10.352032691844887,60.82085364078833
32,63.44064095177986,10.352116804180849,61.430526948420244
33,63.44066550806587,10.352200916516809,62.04020025605216
34,63.44069006435188,10.35228502885277,62.649873563684075
35,63.44071462063786,10.352369141188728,63.25954687131599
36,63.44073917692387,10.352453253524688,63.86922017894791
37,63.44076373320987,10.352537365860648,64.47889348657982
38,63.44078828949588,10.352621478196609,65.08856679421174
39,63.440812845781885,10.352705590532569,65.69824010184367
40,63.44083754530039,10.352789491973077,66.5696244500196
41,63.44086238518896,10.352873186732783,67.69748966103118
42,63.440887225077546,10.352956881492489,68.82535487204275
43,63.44091206496611,10.353040576252194,69.95322008305433
44,63.44093690485469,10.3531242710119,71.08108529406591
45,63.440961744743255,10.353207965771606,72.20895050507748
46,63.440986584631844,10.353291660531312,73.33681571608906
47,63.44101142452041,10.35337535529102,74.46468092710063
48,63.441036264409,10.353459050050725,75.59254613811221
49,63.44106110429757,10.353542744810431,76.72041134912376
50,63.44108594418614,10.353626439570137,77.84827656013535
51,63.44111078407472,10.353710134329845,78.97614177114691
52,63.44113555432862,10.353793930231495,80.05476426728042
53,63.441159639089676,10.353878721787588,80.64863508816434
54,63.441183723850756,10.35396351334368,81.24250590904826
55,63.441207808611814,10.354048304899774,81.83637672993218
56,63.441231893372894,10.354133096455866,82.4302475508161
57,63.44125597813396,10.35421788801196,83.02411837170003
58,63.44128006289503,10.354302679568052,83.61798919258395
59,63.4413041476561,10.354387471124145,84.21186001346787
60,63.44132823241717,10.354472262680238,84.80573083435179
61,63.441355863042865,10.354551160741288,85.58284388808104
62,63.441385217515695,10.354627193638116,86.4490414468917
63,63.44141457198853,10.354703226534944,87.31523900570234
64,63.441443926461346,10.354779259431774,88.18143656451298
65,63.441473280934176,10.354855292328603,89.04763412332363
66,63.441502635407,10.354931325225431,89.91383168213427
67,63.4415334723252,10.355004348900476,90.0
68,63.44156447300627,10.355077040152624,90.0
69,63.4415986918484,10.35513912395674,90.21163857129771
70,63.441640348270234,10.35517669259886,90.91240080775313
71,63.441682004692076,10.355214261240981,91.61316304420856
72,63.441723661113905,10.355251829883102,92.31392528066398
73,63.44176531753573,10.355289398525223,93.0146875171194
74,63.441806973957576,10.355326967167343,93.71544975357483
75,63.441848630379404,10.355364535809464,94.41621199003026
76,63.44189028680124,10.355402104451587,95.11697422648568
77,63.44193194322307,10.355439673093707,95.8177364629411
78,63.44197359964491,10.355477241735828,96.51849869939653
79,63.44201525606674,10.355514810377949,97.21926093585195
80,63.44205691248858,10.35555237902007,97.92002317230738
81,63.44209856891041,10.35558994766219,98.6207854087628
82,63.44214022533224,10.355627516304313,99.32154764521823
83,63.44218196088981,10.355664479917316,100.02127702341998
84,63.442226102996685,10.355683044354784,100.68959677226489
85,63.44227024510355,10.355701608792252,101.35791652110981
86,63.44231438721042,10.35572017322972,102.02623626995472
87,63.442358529317296,10.355738737667188,102.69455601879964
88,63.442402671424155,10.355757302104658,103.36287576764457
89,63.44244681353103,10.355775866542125,104.03119551648948
90,63.44249095563789,10.355794430979593,104.6995152653344
91,63.442535097744766,10.35581299541706,105.3678350141793
92,63.44257923985164,10.35583155985453,106.03615476302423
93,63.4426233819585,10.355850124291996,106.70447451186914
94,63.44266752406536,10.355868688729464,107.37279426071406
95,63.44271166617224,10.355887253166932,108.04111400955897
96,63.44275580827911,10.3559058176044,108.70943375840389
97,63.44279966992533,10.35590048304522,109.17134096050621
98,63.44284331584253,10.355876765488924,109.47447659126803
99,63.44288696175975,10.355853047932628,109.77761222202986
100,63.44293060767695,10.355829330376332,110.08074785279167
101,63.442974253594166,10.355805612820037,110.3838834835535
102,63.44301789951137,10.35578189526374,110.68701911431532
103,63.44306154542856,10.355758177707445,110.99015474507715
104,63.44310519134578,10.35573446015115,111.29329037583898
105,63.44314883726298,10.355710742594853,111.5964260066008
106,63.4431924831802,10.355687025038558,111.89956163736262
107,63.4432361290974,10.355663307482262,112.20269726812444
108,63.4432797750146,10.355639589925966,112.50583289888627
109,63.44332342093181,10.35561587236967,112.80896852964808
110,63.443367066849014,10.355592154813376,113.11210416040991
111,63.443410712766216,10.35556843725708,113.41523979117173
112,63.44345435868343,10.355544719700784,113.71837542193356
113,63.44349800460065,10.355521002144489,114.02151105269537
114,63.44354165051785,10.355497284588193,114.3246466834572
115,63.44358529643505,10.355473567031897,114.62778231421902
116,63.44362894235226,10.355449849475601,114.93091794498085
117,63.44367202396333,10.355421553419731,115.22764554963896
118,63.4437149390167,10.355391905997369,115.52248179412257
119,63.44375785407006,10.355362258575006,115.81731803860616
120,63.44380076912342,10.355332611152646,116.11215428308977
121,63.44384368417678,10.355302963730283,116.40699052757337
122,63.44388659923015,10.35527331630792,116.70182677205698
123,63.44392951428352,10.355243668885558,116.99666301654058
124,63.443972429336874,10.355214021463198,117.29149926102419
125,63.44401534439024,10.355184374040835,117.58633550550779
126,63.444058259443594,10.355154726618473,117.8811717499914
127,63.444101174496964,10.355125079196112,118.176007994475
128,63.444144089550335,10.35509543177375,118.4708442389586
129,63.444187004603705,10.355065784351387,118.76568048344221
130,63.444229919657054,10.355036136929025,119.06051672792582
131,63.444272834710425,10.355006489506666,119.35535297240942
132,63.444315749763796,10.354976842084302,119.65018921689303
133,63.44435866481715,10.35494719466194,119.94502546137663
134,63.44439917312571,10.354904338675425,120.27995993431654
135,63.44443912982605,10.354858455383164,120.62408462626658
136,63.44447908652639,10.354812572090905,120.96820931821664
137,63.444519043226734,10.354766688798644,121.31233401016668
138,63.444558999927075,10.354720805506384,121.65645870211672
139,63.444598956627416,10.354674922214125,122.00058339406678
140,63.44463891332776,10.354629038921864,122.34470808601682
141,63.444678870028106,10.354583155629605,122.68883277796687
142,63.44471882672845,10.354537272337344,123.03295746991692
143,63.44475878342879,10.354491389045084,123.37708216186697
144,63.44479874012913,10.354445505752826,123.72120685381701
145,63.44483869682947,10.354399622460564,124.06533154576707
146,63.44487865352981,10.354353739168303,124.40945623771711
147,63.444918610230154,10.354307855876044,124.75358092966715
148,63.444957229683624,10.354257321313838,124.81170630124957
149,63.444992476525236,10.354195055987358,124.1485253091416
150,63.44502772336685,10.354132790660877,123.48534431703362
151,63.445062970208475,10.354070525334395,122.82216332492564
152,63.44509821705009,10.354008260007914,122.15898233281766
153,63.4451334638917,10.353945994681432,121.49580134070968
154,63.44516871073333,10.353883729354951,120.8326203486017
155,63.44520395757494,10.35382146402847,120.16943935649371
156,63.445239204416566,10.353759198701988,119.50625836438574
157,63.44527445125818,10.353696933375508,118.84307737227776
158,63.44530969809979,10.353634668049025,118.17989638016978
159,63.44534494494142,10.353572402722545,117.5167153880618
160,63.44538019178303,10.353510137396064,116.85353439595382
161,63.44541543862464,10.353447872069582,116.19035340384585
162,63.445450685466255,10.353385606743101,115.52717241173787
163,63.44548593230788,10.353323341416619,114.86399141962988
164,63.445521179149495,10.353261076090138,114.2008104275219
165,63.44555642599111,10.353198810763658,113.53762943541392
166,63.445591672832734,10.353136545437176,112.87444844330594
167,63.445626919674346,10.353074280110695,112.21126745119795
168,63.445662166515966,10.353012014784213,111.54808645908999
169,63.445697413357586,10.352949749457732,110.884905466982
170,63.445732660199205,10.352887484131251,110.22172447487402
171,63.44577201573381,10.352840799784286,110.0
172,63.445813434886816,10.352801941088012,110.0
173,63.44585485403981,10.352763082391741,110.0
174,63.44589627319281,10.35272422369547,110.0
175,63.445937692345815,10.3526853649992,110.0
176,63.44597911149881,10.352646506302925,110.0
177,63.44602053065182,10.352607647606654,110.0
178,63.44606194980483,10.352568788910382,110.0
179,63.44610336895782,10.35252993021411,110.0
180,63.446144788110836,10.35249107151784,110.0
181,63.44618620726383,10.352452212821568,110.0
182,63.44622762641682,10.352413354125295,110.0
183,63.446269045569835,10.352374495429023,110.0
184,63.44631046472284,10.352335636732752,110.0
185,63.446351883875835,10.35229677803648,110.0
186,63.44639330302885,10.35225791934021,110.0
187,63.44643472218184,10.352219060643938,110.0
188,63.44647614133485,10.352180201947665,110.0
189,63.446518336359986,10.352149444276296,110.13003934659241
190,63.44656323827322,10.352146949725562,110.71376421863931
191,63.446608140186456,10.352144455174827,111.29748909068623
192,63.44665304209968,10.35214196062409,111.88121396273314
193,63.44669794401293,10.352139466073355,112.46493883478004
194,63.44674284592617,10.35213697152262,113.04866370682696
195,63.446787747839394,10.352134476971885,113.63238857887386
196,63.44683264975263,10.35213198242115,114.21611345092076
197,63.446877551665864,10.352129487870414,114.79983832296767
198,63.4469224535791,10.352126993319681,115.38356319501459
199,63.446967355492326,10.352124498768944,115.96728806706149
200,63.447012257405575,10.35212200421821,116.55101293910839
201,63.44705715931881,10.352119509667475,117.1347378111553
202,63.44710206123204,10.352117015116738,117.71846268320222
203,63.44714696314527,10.352114520566003,118.30218755524912
204,63.44719186505851,10.352112026015268,118.88591242729602
205,63.44723676697174,10.352109531464533,119.46963729934293
206,63.44728166888497,10.352107036913798,120.05336217138985
207,63.44732657079822,10.352104542363062,120.63708704343675
208,63.44737147271145,10.352102047812327,121.22081191548367
209,63.44741637462468,10.352099553261594,121.80453678753057
210,63.447461276537915,10.352097058710857,122.38826165957748
211,63.44750617845115,10.352094564160122,122.9719865316244
212,63.44755106350509,10.352090860015027,123.13583100954938
213,63.44759594770915,10.352087094894156,123.27850927410431
214,63.447640831913205,10.352083329773286,123.42118753865925
215,63.447685716117256,10.352079564652415,123.56386580321418
216,63.447730600321314,10.352075799531546,123.70654406776913
217,63.44777548452537,10.352072034410675,123.84922233232406
218,63.44782036872943,10.352068269289806,123.991900596879
219,63.44786525293349,10.352064504168935,124.13457886143394
220,63.44791013713754,10.352060739048063,124.27725712598888
221,63.44795502134161,10.352056973927194,124.41993539054381
222,63.44799990554567,10.352053208806323,124.56261365509876
223,63.44804478974973,10.352049443685454,124.70529191965369
224,63.44808967395378,10.352045678564583,124.84797018420863
225,63.44813455815784,10.352041913443715,124.99064844876357
226,63.4481794423619,10.352038148322842,125.13332671331851
227,63.448224326565956,10.352034383201973,125.27600497787344
228,63.448269210770015,10.352030618081102,125.41868324242839
229,63.44831409497407,10.352026852960233,125.56136150698332
230,63.448358979178124,10.352023087839362,125.70403977153826
231,63.44840386338218,10.352019322718492,125.8467180360932
232,63.44844874758624,10.352015557597621,125.98939630064814
233,63.4484936317903,10.352011792476752,126.13207456520307
234,63.44853851599436,10.35200802735588,126.27475282975801
235,63.44858340019841,10.352004262235011,126.41743109431295
236,63.44862828440248,10.35200049711414,126.56010935886789
237,63.44867316860654,10.351996731993271,126.70278762342284
238,63.4487180528106,10.3519929668724,126.84546588797777
239,63.44876293701465,10.351989201751529,126.98814415253271
240,63.44880780367248,10.351984513904517,127.32812382778376
241,63.44885266874018,10.351979742434985,127.68598404279528
242,63.44889753380787,10.35197497096545,128.0438442578068
243,63.44894239887557,10.351970199495918,128.40170447281832
244,63.448987263943266,10.351965428026384,128.75956468782982
245,63.449032129010966,10.35196065655685,129.11742490284135
246,63.44907699407866,10.351955885087317,129.47528511785288
247,63.44912185914636,10.351951113617783,129.83314533286438
248,63.44916672421407,10.35194634214825,130.1910055478759
249,63.44921158928175,10.351941570678717,130.54886576288743
250,63.44925645434946,10.351936799209183,130.90672597789893
251,63.449301319417145,10.35193202773965,131.26458619291046
252,63.44934618448485,10.351927256270116,131.62244640792198
253,63.44939104955254,10.351922484800582,131.98030662293348
254,63.449435914620246,10.35191771333105,132.338166837945
255,63.44948077968793,10.351912941861515,132.69602705295654
256,63.44952564475563,10.351908170391981,133.05388726796804
257,63.449570509823324,10.351903398922449,133.41174748297956
258,63.449615374891025,10.351898627452915,133.7696076979911
259,63.44966023995873,10.351893855983382,134.1274679130026
260,63.44970510502642,10.351889084513848,134.48532812801412
261,63.449749970094125,10.351884313044314,134.84318834302564
262,63.44979483516181,10.351879541574782,135.20104855803714
263,63.44983970022952,10.351874770105248,135.55890877304867
264,63.449884565297204,10.351869998635715,135.9167689880602
265,63.44992943036491,10.351865227166181,136.2746292030717
266,63.4499742954326,10.351860455696647,136.63248941808322
267,63.450019160500304,10.351855684227115,136.99034963309475
268,63.450064025568004,10.351850912757582,137.34820984810625
269,63.4501088906357,10.351846141288048,137.70607006311778
270,63.4501537557034,10.351841369818514,138.0639302781293
271,63.45019862077109,10.35183659834898,138.4217904931408
272,63.45024348583879,10.351831826879447,138.77965070815233
273,63.45028835090648,10.351827055409913,139.13751092316386
274,63.45033321597418,10.351822283940379,139.49537113817536
275,63.45037808104187,10.351817512470847,139.85323135318689
276,63.450422946109576,10.351812741001313,140.2110915681984
277,63.45046781117726,10.351807969531778,140.5689517832099
278,63.45051267624497,10.351803198062246,140.92681199822144
279,63.450557541312655,10.351798426592712,141.28467221323297
280,63.45060240638036,10.35179365512318,141.64253242824446
281,63.4506472714928,10.351788886573091,142.0005749564715
282,63.45069217734166,10.351786775925415,142.52459782805784
283,63.45073708319051,10.351784665277737,143.0486206996442
284,63.45078198903937,10.35178255463006,143.57264357123054
285,63.45082689488822,10.351780443982383,144.09666644281688
286,63.45087180073709,10.351778333334705,144.62068931440325
287,63.45091670658594,10.351776222687029,145.1447121859896
288,63.45096161243479,10.351774112039351,145.66873505757593
289,63.451006518283656,10.351772001391675,146.1927579291623
290,63.45105142413251,10.351769890743997,146.71678080074864
291,63.45109632998137,10.351767780096319,147.24080367233498
292,63.45114123583022,10.351765669448643,147.76482654392132
293,63.45118614167909,10.351763558800965,148.28884941550768
294,63.45123104752793,10.351761448153288,148.81287228709402
295,63.4512759533768,10.35175933750561,149.33689515868036
296,63.45132085922565,10.351757226857933,149.86091803026673
297,63.451365765074506,10.351755116210258,150.38494090185307
298,63.451410670923366,10.351753005562578,150.9089637734394
299,63.45145557677223,10.351750894914902,151.43298664502578
300,63.45150048262108,10.351748784267224,151.95700951661212
301,63.45154538846993,10.35174667361955,152.48103238819846
302,63.4515902943188,10.35174456297187,153.00505525978483
303,63.45163520016765,10.351742452324192,153.52907813137116
304,63.4516801060165,10.351740341676516,154.0531010029575
305,63.45172501186536,10.351738231028838,154.57712387454387
306,63.45176991771423,10.351736120381162,155.1011467461302
307,63.451814823563076,10.351734009733484,155.62516961771655
308,63.45185972941194,10.351731899085806,156.14919248930292
309,63.451904635260796,10.35172978843813,156.67321536088926
310,63.45194954110964,10.351727677790452,157.1972382324756
311,63.45199444695851,10.351725567142775,157.72126110406197
312,63.45203935280736,10.351723456495098,158.2452839756483
313,63.45208425865622,10.35172134584742,158.76930684723465
314,63.452129164505074,10.351719235199743,159.29332971882098
315,63.45217407035394,10.351717124552065,159.81735259040735
316,63.45221897620279,10.35171501390439,160.3413754619937
317,63.45226388205164,10.351712903256711,160.86539833358003
318,63.452308787900506,10.351710792609035,161.3894212051664
319,63.45235369374936,10.351708681961357,161.91344407675274
320,63.452398607564604,10.351708674986668,163.16845440510784
321,63.452443522956074,10.351709084238527,164.56809576088799
322,63.45248843834753,10.351709493490384,165.96773711666813
323,63.452533353739,10.351709902742243,167.36737847244828
324,63.452578269130456,10.351710311994102,168.76701982822843
325,63.45262318452192,10.35171072124596,170.16666118400855
326,63.45266809991338,10.351711130497819,171.5663025397887
327,63.452713015304845,10.351711539749678,172.96594389556884
328,63.4527579306963,10.351711949001535,174.365585251349
329,63.45280284608777,10.351712358253394,175.76522660712914
330,63.45284776147923,10.351712767505251,177.16486796290928
331,63.45289267687068,10.35171317675711,178.56450931868943
332,63.45293759226215,10.35171358600897,179.96415067446958
333,63.45298250765361,10.351713995260827,181.36379203024973
334,63.45302742304508,10.351714404512686,182.76343338602987
335,63.453072338436534,10.351714813764545,184.16307474181002
336,63.45311725382799,10.351715223016402,185.56271609759017
337,63.45316216921946,10.351715632268261,186.96235745337032
338,63.453207084610916,10.351716041520122,188.36199880915044
339,63.45325200000237,10.351716450771978,189.76164016493058
340,63.45329691539384,10.351716860023837,191.16128152071073
341,63.4533418307853,10.351717269275696,192.56092287649088
342,63.453386746176754,10.351717678527553,193.96056423227103
343,63.453431661568224,10.351718087779412,195.36020558805117
344,63.45347657695968,10.351718497031271,196.75984694383132
345,63.453521492351136,10.35171890628313,198.15948829961147
346,63.453580555555554,10.351719444444447,200.0
